Name,Jones (vector)
11a_38,{-6; 5; 1; -3; 7; -12; 16; -19; 19; -16; 13; -7; 3; -1}
11a_39,{-4; 7; 1; -3; 7; -11; 14; -16; 16; -13; 10; -6; 3; -1}
11a_40,{-1; 10; -1; 3; -5; 9; -11; 14; -14; 12; -10; 6; -3; 1}
11a_41,{-2; 9; -1; 4; -8; 13; -16; 19; -18; 15; -11; 6; -3; 1}
11a_42,{-3; 8; 1; -3; 7; -11; 15; -17; 17; -15; 11; -6; 3; -1}
11a_43,{3; 14; 1; -3; 9; -13; 19; -22; 21; -20; 14; -8; 4; -1}
11a_44,{-5; 6; -1; 3; -8; 13; -16; 20; -18; 16; -12; 6; -3; 1}
11a_45,{-3; 8; 1; -2; 5; -8; 11; -14; 14; -12; 10; -6; 3; -1}
11a_46,{-4; 7; -1; 3; -6; 9; -11; 14; -13; 12; -9; 5; -3; 1}
11a_47,{-5; 6; -1; 3; -8; 13; -16; 20; -18; 16; -12; 6; -3; 1}
11a_48,{-11; 0; -1; 3; -7; 12; -16; 18; -18; 16; -11; 7; -3; 1}
11a_49,{0; 11; 1; -2; 6; -10; 14; -17; 17; -15; 12; -7; 3; -1}
11a_50,{-1; 10; 1; -2; 5; -8; 11; -13; 13; -11; 9; -6; 3; -1}
11a_51,{-8; 3; -1; 3; -7; 12; -16; 19; -18; 16; -12; 7; -3; 1}
11a_52,{-5; 6; -1; 3; -7; 13; -18; 22; -22; 20; -15; 10; -5; 1}
11a_53,{-10; 1; 1; -3; 6; -10; 13; -15; 15; -13; 10; -6; 4; -1}
11a_54,{-9; 2; 1; -3; 7; -13; 18; -22; 23; -20; 16; -10; 5; -1}
11a_55,{-7; 4; 1; -3; 5; -8; 10; -11; 11; -8; 7; -4; 2; -1}
11a_56,{-6; 5; 1; -3; 6; -11; 15; -17; 18; -15; 12; -7; 3; -1}
11a_57,{-7; 4; 1; -3; 7; -12; 14; -16; 16; -12; 10; -5; 2; -1}
11a_58,{-6; 5; 1; -3; 6; -9; 11; -13; 13; -10; 8; -4; 2; -1}
11a_59,{-5; 6; 1; -2; 3; -4; 5; -6; 6; -5; 5; -3; 2; -1}
11a_60,{0; 11; 1; -2; 5; -8; 11; -13; 14; -12; 9; -6; 3; -1}
11a_61,{-1; 10; 1; -3; 7; -11; 15; -16; 16; -14; 10; -6; 3; -1}
11a_62,{-12; -1; -1; 2; -4; 6; -7; 8; -8; 7; -5; 4; -2; 1}
11a_63,{-11; 0; -1; 2; -5; 9; -12; 15; -15; 13; -10; 7; -3; 1}
11a_64,{-11; 0; -1; 3; -7; 11; -14; 16; -15; 13; -9; 5; -2; 1}
11a_65,{-10; 1; -1; 2; -4; 6; -7; 9; -9; 8; -6; 4; -2; 1}
11a_66,{-8; 3; -1; 3; -7; 12; -16; 19; -19; 17; -12; 8; -4; 1}
11a_67,{-7; 4; -1; 3; -7; 12; -16; 20; -20; 18; -14; 9; -4; 1}
11a_68,{-4; 7; -1; 3; -6; 10; -13; 16; -16; 15; -11; 7; -4; 1}
11a_69,{-5; 6; -1; 4; -9; 15; -20; 23; -22; 20; -14; 8; -4; 1}
11a_70,{-3; 8; 1; -3; 8; -14; 20; -24; 25; -22; 17; -11; 5; -1}
11a_71,{-3; 8; 1; -4; 9; -15; 22; -25; 26; -23; 17; -11; 5; -1}
11a_72,{-5; 6; -1; 4; -9; 15; -21; 25; -24; 22; -16; 10; -5; 1}
11a_73,{-6; 5; 1; -5; 11; -18; 25; -28; 29; -25; 18; -11; 5; -1}
